"Record Key","Chainage Start (m)","Chainage End (m)","Length (m)","Pipeline Section","Register","Asset Type","Asset ID","Trench Type","Source Length (m)","Drawing (Start)","Drawing (End)","Drawing (superseded)","Info Source","Included in Current Plan","Section Ref (source)","Feature Name","Utility Description","Surface","Pipeline DN","Embankment Treatment","Creek Bed Treatment","Pipe Description","Type 6 (m)","Type 7 (m)","Type 4 & 7 (m)","Type 4 & 6 (m)","Operator","Location","Material","Size (mm)","ID","Actual Chainage (surveyed)","Located","C&G Code","Trench Code","Surveyors PtNo","E","N","Z","Survey Code","Proven to Underside of Service","Test Point","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m)","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Excavation Permit Required?","Excavation Permit Date","Crossing Permit Required?","Crossing Permit Date","Comments","Source File","Source Row","Area (m2)","Timber Density","Thrust Block Category","Installed","Install Date","Installed By","Test Document No","Test Status","Test Date","Complete","Completion Date","Progress Notes","Unit Rate ($)","Quantity","Unit","Total Cost ($)","Fitting Type","Type of Bend","Fitting Material","Fitting DN (mm)","Max Test Pressure (kPa)","Allowable Lateral Bearing (kPa)","Thrust Block Item","Design Source","Valve Type","Crossing Type","Crew","Bend Rate Class","Completion Driver","Front Chainage (m)","Auto Complete","Auto Complete As At","Unlabelled Column CO","Valve Arrangement Type","Valve Assembly Group","Valve Arrangement","Branch / Tee Size","Air Valve","Scour Valve","Side","Invert Level (m)","Depth of Invert (m)","Natural Surface (m)","Orifice Plate Bore (mm)","Within 1% AEP Flood Zone","Claim Item No (PC02)","Location Drawing Ref"
"PHW-PIPE-0105","9510.598","9698.209","187.6110000000008","PHW","Pipe","PIPE","PHW-PIPE-0105","","","D-DWG-PHW-014.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-VG-0059","9590","9600","10","PHW","Vegetation","TREE REMOVAL","VEG_PHW059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 SMALL TREE","T2W - Tree Removal TakeOff (V.1).xlsx","76","29","LIGHT","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-102","7936.403","","","PHW","Bend","HOR","PHW-BND-102","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D-DWG-PHW-032.1.IFC.pdf","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","D-DWG-PHW-032.1.IFC.pdf — PHW DN600 DICL PN35 Pipeline Setout Table","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-AV-018","9658.34","","","PHW","Valve","AV","PHW-AV-018","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Valve arrangement per IFC valve schedule. Rate line: Rate Library Table 6.","PHW_PWG_Valve_BOM_C.xlsx","Valve Register!A36","","","","","","","","","","","","46057","1","each","46057","","","","","","","","","2","","","","PIPE","0","NO","","","AV TYPE 2","AV Type 2 (Above Ground)","Above ground","DN600x300","Yes","No","N/A","504.4","2.078","506.478","N/A","N","PHW-6420.02",""
"PHW-CM-0030","9698","","","PHW","Foreign Service","COMMUNICATIONS","PHW-CM-0030","","","D-DWG-PHW-014.2","","","BYDA","Yes","PHW","","BYDA COMMS DN50","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-BND-046","8345.314","","","PHW","Bend","HOR","PHW-BND-046","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","45°","DICL","600","","","","","","","","45","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0106","9698.209","9793.567","95.35799999999836","PHW","Pipe","PIPE","PHW-PIPE-0106","","","D-DWG-PHW-014.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-BND-103","8350.304","","","PHW","Bend","HOR","PHW-BND-103","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D-DWG-PHW-032.1.IFC.pdf","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","D-DWG-PHW-032.1.IFC.pdf — PHW DN600 DICL PN35 Pipeline Setout Table","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-CC-0008","9781","9809","28","PHW","Creek Crossing","TRENCHED CREEK CROSSING","PHW-CC-0008","","","","","","","","PHW","","","","","FABRIC/VEGETATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PHw_PWG_Creek_Crossings.xlsx","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0107","9793.567","9808.864","15.29700000000048","PHW","Pipe","PIPE","PHW-PIPE-0107","","","D-DWG-PHW-014.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open trench minor creek crossing","Special Crossings","","","","","","","","","","","","","","","","","","","",""
"PHW-IV-P-001","9801","","","PHW","Valve","PIG","PHW-IV-P-001","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Valve arrangement per IFC valve schedule. Rate line: Rate Library Table 6.","PHW_PWG_Valve_BOM_C.xlsx","Valve Register!A37","","","","","","","","","","","","395434","1","each","395434","","","","","","","","","1 (AV TYPE 1B)","","","","PIPE","0","NO","","","IV TYPE 1 (AV TYPE 1B ) ","IV Pit ","Inline","DN600x300","Yes","No","N/A","501.8","1.921","503.721","N/A","","PHW-6320.01",""
"PHW-TB-032","4409.494","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-032","","","","","","","","PHW","","Type 7","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","44","","","Bend","","","","","","","","","","14150","1","each","14150","Bend","11.25","DICL","600","3077","240","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0108","9808.864","9960.086","151.22199999999975","PHW","Pipe","PIPE","PHW-PIPE-0108","","","D-DWG-PHW-014.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TS-0377","9840.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0377","","","D-DWG-PHW-015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","422","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0378","9852.1","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0378","","","D-DWG-PHW-015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","423","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TB-033","4413.12","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-033","","","","","","","","PHW","","Type 4","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","45","","","Bend","","","","","","","","","","16211","1","each","16211","Bend","45","DICL","600","3078","240","Bend; 45 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-047","8676.185","","","PHW","Bend","HOR","PHW-BND-047","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","22.5°","DICL","600","","","","","","","","22.5","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-AV-019","9960.086","","","PHW","Valve","AV","PHW-AV-019","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Valve arrangement per IFC valve schedule. Rate line: Rate Library Table 6.","PHW_PWG_Valve_BOM_C.xlsx","Valve Register!A38","","","","","","","","","","","","46057","1","each","46057","","","","","","","","","2","","","","PIPE","0","NO","","","AV TYPE 2","AV Type 2 (Above Ground)","Above ground","DN600x300","Yes","No","N/A","506.94","2.109","509.049","N/A","N","PHW-6420.02",""
"PHW-PIPE-0109","9960.086","9997.286","37.20000000000073","PHW","Pipe","PIPE","PHW-PIPE-0109","","","D-DWG-PHW-014.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TB-081","4470","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-081","","","","","","","","PHW","","Type 7","","","","","","","","","","","","DICL","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE 24-8.xlsm","240","","","Tee","","","","","","","","","","","1","each","","Tee","DN600xDN150 DIFBE SCOUR TEE","","150","3082","240","Tee; DN600XDN150 DIFBE SCOUR TEE","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-048","8768.417","","","PHW","Bend","HOR","PHW-BND-048","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0379","9981.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0379","","","D-DWG-PHW-015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","424","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TB-082","4661.417","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-082","","","","","","","","PHW","","Type 7","","","","","","","","","","","","DICL","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE 24-8.xlsm","241","","","Tee","","","","","","","","","","","1","each","","Tee","DN600xDN150 DIFBE SCOUR TEE","","150","3087","240","Tee; DN600XDN150 DIFBE SCOUR TEE","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-049","9056.493","","","PHW","Bend","HOR","PHW-BND-049","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","22.5°","DICL","600","","","","","","","","22.5","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0380","9987.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0380","","","D-DWG-PHW-015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","425","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0381","9993.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0381","","","D-DWG-PHW-015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","426","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0110","9997.286","10080.68","83.39400000000023","PHW","Pipe","PIPE","PHW-PIPE-0110","","","D-DWG-PHW-014.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TT-0067","10080.68","10101.635","20.954999999999927","PHW","Trench Type","TRENCH SECTION","","5","20.9549999999999","D-DWG-PHW-015.2","D-DWG-PHW-015.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0111","10080.68","10101.635","20.954999999999927","PHW","Pipe","PIPE","PHW-PIPE-0111","","","D-DWG-PHW-015.2","","","","","PHW","","","","660","","","OD660 MSCL 6WT SINTALOCK TYPE 2 PN35","","","","","","","MSCL","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open trench minor creek crossing","Special Crossings","","","","","","","","","","","","","","","","","","","",""
"PHW-CC-0009","10081","10102","21","PHW","Creek Crossing","TRENCHED CREEK CROSSING","PHW-CC-0009","","","","","","","","PHW","","","","","LOOSE ROCK","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PHw_PWG_Creek_Crossings.xlsx","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TT-0068","10101.635","10347.95","246.3150000000005","PHW","Trench Type","TRENCH SECTION","","1A","246.315000000001","D-DWG-PHW-015.2","D-DWG-PHW-015.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0112","10101.635","10344.417","242.78199999999924","PHW","Pipe","PIPE","PHW-PIPE-0112","","","D-DWG-PHW-015.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open Trenched Creek Crossings","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TB-034","4859.322","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-034","","","","","","","","PHW","","Type 9","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","46","","","Bend","","","","","","","","","","14347","1","each","14347","Bend","11.25","DICL","600","3026","240","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-SCV-011","10103.635","","","PHW","Valve","SCV","PHW-SCV-011","","","D-DWG-PHW-015.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Valve arrangement per IFC valve schedule. Rate line: Rate Library Table 6.","PHW_PWG_Valve_BOM_C.xlsx","Valve Register!A39","","","","","","","","","","","","63700","1","each","63700","","","","","","","","","1B","","","","PIPE","0","NO","","","SCV TYPE 1B","SCV Type 1 (Buried)","Buried","DN600x150","No","SCV TYPE 1B","RHS","500.725","2.089","502.814","130","Y","PHW-6410.01","D-DWG-PHW-015.2"
"PHW-TB-083","4961.176","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-083","","","","","","","","PHW","","Type 7","","","","","","","","","","","","DICL","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE 24-8.xlsm","242","","","Tee","","","","","","","","","","","1","each","","Tee","DN600xDN150 DIFBE SCOUR TEE","","150","2999","240","Tee; DN600XDN150 DIFBE SCOUR TEE","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-104","9056.493","","","PHW","Bend","HOR","PHW-BND-104","","","D-DWG-PHW-012.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D-DWG-PHW-032.1.IFC.pdf","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","D-DWG-PHW-032.1.IFC.pdf — PHW DN600 DICL PN35 Pipeline Setout Table","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TB-035","5356.119","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-035","","","","","","","","PHW","","Type 5","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","47","","","Bend","","","","","","","","","","14784","1","each","14784","Bend","22.5","DICL","600","2863","240","Bend; 22.5 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-050","9146.643","","","PHW","Bend","HOR","PHW-BND-050","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","22.5°","DICL","600","","","","","","","","22.5","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-VG-0060","10320","10330","10","PHW","Vegetation","TREE REMOVAL","VEG_PHW060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 LARGE TREE","T2W - Tree Removal TakeOff (V.1).xlsx","77","65.7","HEAVY","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TB-036","5386.241","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-036","","","","","","","","PHW","","Type 7","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","48","","","Bend","","","","","","","","","","14150","1","each","14150","Bend","11.25","DICL","600","2828","240","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-105","9411.852","","","PHW","Bend","HOR","PHW-BND-105","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D-DWG-PHW-032.1.IFC.pdf","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","D-DWG-PHW-032.1.IFC.pdf — PHW DN600 DICL PN35 Pipeline Setout Table","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-RD-0007","10342","10364","22","PHW","Road & Rail Crossing","MINOR ROAD CROSSING","PHW-RD-0007","","22","","","","","","PHW","Khurt Court","","Sealed","600","","","DN600 PN35 DICL RRJ","22","","","","TRC","","","","","","","","","","","","","","","","Open Trenching","","","","","","","","","","","","","","","T2WRWP-05304-PTW-PPG-SCH-00002_PHW_PWG.xlsx","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0113","10344.417","10367.669","23.252000000000407","PHW","Pipe","PIPE","PHW-PIPE-0113","","","D-DWG-PHW-015.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Open trench minor road Crossing","Special Crossings","","","","","","","","","","","","","","","","","","","",""
"PHW-TT-0069","10347.95","10367.669","19.71899999999914","PHW","Trench Type","TRENCH SECTION","","6","19.7189999999991","D-DWG-PHW-015.2","D-DWG-PHW-015.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-TT-0070","10367.669","10531.389","163.71999999999935","PHW","Trench Type","TRENCH SECTION","","1A","163.719999999999","D-DWG-PHW-015.2","D-DWG-PHW-016.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0114","10367.669","10378.599","10.930000000000291","PHW","Pipe","PIPE","PHW-PIPE-0114","","","D-DWG-PHW-015.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TS-0382","10373.15","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0382","","","D-DWG-PHW-015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","427","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PWG-TB-019","5442.668","","","PWG","Thrust Block","THRUST BLOCK","PWG-TB-019","","","","","","","","PWG","","Type 11","","","","","","","","","","","","DICL","375","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","107","","","Bend","","","","","","","","","","28674","1","each","28674","Bend","11.25","DICL","375","2690","200","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-106","9422.385","","","PHW","Bend","HOR","PHW-BND-106","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D-DWG-PHW-032.1.IFC.pdf","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","D-DWG-PHW-032.1.IFC.pdf — PHW DN600 DICL PN35 Pipeline Setout Table","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0115","10378.599","10531.389","152.78999999999905","PHW","Pipe","PIPE","PHW-PIPE-0115","","","D-DWG-PHW-015.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PWG-TB-020","5475.997","","","PWG","Thrust Block","THRUST BLOCK","PWG-TB-020","","","","","","","","PWG","","Type 11","","","","","","","","","","","","MSCL","450","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","108","","","Bend","","","","","","","","","","35673","1","each","35673","Bend","8.9","MSCL","450","2700","200","Bend; MS - 8.9°","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-051","9605.527","","","PHW","Bend","HOR","PHW-BND-051","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-AV-020","10517.102","","","PHW","Valve","AV","PHW-AV-020","","","D-DWG-PHW-015.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Valve arrangement per IFC valve schedule. Rate line: Rate Library Table 6.","PHW_PWG_Valve_BOM_C.xlsx","Valve Register!A40","","","","","","","","","","","","48300","1","each","48300","","","","","","","","","1A","","","","PIPE","0","NO","","","AV TYPE 1A","AV Pit Type 1A & 1B (Buried)","Inline","DN600x300","Yes","No","N/A","510.85","1.992","512.842","N/A","N","PHW-6420.01",""
"PHW-TT-0071","10531.389","10582.353","50.96399999999994","PHW","Trench Type","TRENCH SECTION","","4","50.9639999999999","D-DWG-PHW-016.2","D-DWG-PHW-016.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0116","10531.389","10582.353","50.96399999999994","PHW","Pipe","PIPE","PHW-PIPE-0116","","","D-DWG-PHW-016.2","","","","","PHW","","","","660","","","OD660 MSCL 6WT SINTALOCK TYPE 2 PN35","","","","","","","MSCL","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Special Crossings","","","","","","","","","","","","","","","","","","","",""
"PHW-BND-052","9698.209","","","PHW","Bend","HOR","PHW-BND-052","","","D-DWG-PHW-014.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-RD-0008","10582.353","10645.383","63.030000000000655","PHW","Road & Rail Crossing","MAJOR ROAD CROSSING","PHW-RD-0008","","63.0300000000007","","","","","","PHW","Toowoomba Connection Road / Warrego Highway","","Sealed","600","","","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","TMR","","","","","","","","","","","","","","","","Thrust Boring","","","","","","","","","","","","","","","T2WRWP-05304-PTW-PPG-SCH-00002_PHW_PWG.xlsx","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
